id,age,steps
37475,46,5951
51201,36,10139
77330,50,-1
85906,35,6351
29457,30,8653
1419,41,6975
61977,36,8367
12179,36,7411
23374,38,8855
6981,52,7195
23370,46,8244
16458,60,7676
9945,35,8598
44448,31,-1
13741,30,9645
34230,47,6621
50816,44,-1
89422,50,8259
69448,45,8298
28146,46,8300
76873,25,-1
35928,35,7694
76504,49,7568
12579,45,-1
60042,31,8476
93408,35,6529
13946,51,7348
12172,47,6117
49342,40,7277
6297,40,9466
29647,44,4442
62371,18,9881
12724,25,8314
97052,56,7627
43378,35,7006
55537,26,8967
93243,26,9937
19765,40,-1
14483,35,5803
29130,37,7612
77628,23,7421
22962,31,7891
41622,41,7961
80785,40,-1
55285,40,6685
17953,37,9004
124,45,7145
81041,39,7679
20870,52,7254
71142,43,6749
9298,34,8701
66032,48,7286
53899,39,6444
87622,39,4121
60166,45,7676
44403,38,7730
76346,37,6034
70256,37,7027
83736,52,5056
21503,37,8368
41210,27,8895
1349,41,9544
84992,33,7457
40366,42,-1
2323,43,8427
19425,41,5036
54436,21,9628
97174,47,6130
49809,44,6105
24006,21,-1
94064,40,-1
28243,47,9326
92918,38,7906
49471,39,5841
83662,34,6089
15039,25,8675
49048,28,-1
57976,22,9352
29321,35,9389
50776,51,5336
22613,35,6829
26031,34,7070
36298,32,9433
70059,42,7808
49873,20,7808
36096,28,9188
74273,53,4179
88897,30,5431
10012,45,5067
95706,39,7050
614,34,8662
36643,39,6710
45139,37,9280
91589,49,8480
88165,26,5451
7924,28,6671
11985,46,7500
40207,43,6681
40246,44,7278
98572,40,7507
38266,47,3497
29517,34,7147
58673,45,6508
64122,25,9505
49335,42,10632
68928,35,9772
11680,30,8882
39658,46,8131
73080,27,7289
62397,36,8277
94480,53,6362
29188,29,8055
81983,44,8647
42433,45,7805
96986,25,-1
86044,33,7589
85309,37,7861
50579,48,-1
37816,32,10297
39690,36,7747
53070,43,7857
96590,47,6116
97041,46,5496
690,39,4597
67301,50,9514
28043,45,7878
95413,29,-1
21884,35,6216
44032,31,8407
32347,53,6844
38535,47,5856
84466,39,7685
99585,31,-1
20584,26,10907
91125,42,5539
5716,47,7346
82557,48,6405
31148,48,5107
55414,33,6689
14340,32,8802
15194,46,6896
1370,48,8915
27772,55,4983
75219,43,6116
55004,40,7510
91764,36,7091
24036,34,9391
17155,39,-1
47555,50,7055
51387,53,10154
17831,53,8524
49226,52,7509
29465,41,6027
22654,43,8889
30658,34,8993
57283,39,6821
82443,41,9760
68838,25,6867
14882,32,10640
85912,36,5567
45516,55,-1
44343,35,8230
72397,31,9674
47152,42,7501
6000,41,-1
38949,37,7237
78483,41,7223
22321,53,7055
7751,49,7255
66149,47,-1
45979,46,9597
15671,29,7672
47422,37,7002
84699,43,8046
72814,33,8725
4615,17,-1
9925,42,6170
83951,57,6843
27084,50,-1
68529,36,9091
31809,42,7178
65357,44,4726
41359,45,7636
6392,43,6481
50275,60,6593
45338,54,5404
26424,36,7351
26434,25,7030
5601,44,11150
44375,39,-1
17954,36,8221
9002,44,8671
2527,36,8350
7662,43,-1
59338,44,6970
49215,37,6871
49195,44,6840
61216,58,8413
38103,53,5839
76843,35,-1
2522,36,7496
69889,39,8376
63443,29,5154
36887,44,9059
66288,38,6150
17277,33,-1
10331,38,8088
63945,27,9384
34150,42,9312
18553,60,8316
40437,42,6346
2885,36,7555
64726,51,7103
3502,28,5736
72446,33,5044
85308,48,7617
57578,39,8460
99488,40,6250
74087,58,8837
88889,39,7724
87843,53,9048
27234,31,6441
18567,51,4649
52757,34,9892
52176,40,6005
53244,43,-1
13361,53,8269
30023,49,5938
70769,32,10651
10950,27,8832
17403,45,7222
89021,39,8192
74375,25,8742
21680,32,5381
62854,29,8470
89108,40,8606
33605,34,6971
30818,45,8165
97431,37,7128
12111,37,7151
81911,42,-1
31878,39,5744
36882,43,-1
14607,38,7849
6235,55,7883
72326,35,-1
38806,45,7915
5604,50,6676
30952,41,7030
48153,30,7836
30336,35,4455
5158,27,-1
54944,49,8526
23224,50,9022
28666,50,7530
83438,36,4273
24186,39,8516
60969,44,8048
98295,33,7500
24080,27,9319
68584,41,8261
74220,45,7627
98466,43,9749
40941,51,6335
88289,22,7738
81262,37,6762
72261,38,8602
42602,35,8256
97392,43,6306
68403,29,7034
87575,38,5778
24237,35,7059
6329,46,5283
12450,63,6256
77383,38,9103
41377,38,10865
1217,38,7692
54368,42,6648
61882,30,5575
69954,37,4039
36904,48,6287
34981,40,5404
96915,43,6628
59656,44,7781
10403,46,-1
36475,29,6980
